主题,子主题,公司,业绩,归母同比,归母环比,归母上年同期(亿),扣非同比,扣非环比,扣非上年同期(亿),主营业务,原因,舆论,是否最新,是否关注
其他产业链,,国泰海通（601211）~5500亿,🟢 同向上升,+27% ~ +30%（含负商誉）,+113% ~ +121%,157.37,+164% ~ +171%,+64% ~ +71%,—,证券及金融服务（经纪、投行、资管、自营投资）,换股吸收合并效应持续释放，通道业务全线环比增长，双创直投和产业基金贡献重大投资收益,22家机构一致预期（截至2026-07-03）2026年净利润275.91亿，EPS 1.57元。焦点：合并后资产规模行业第一，双创直投收益占Q2利润超50%,,
AI 硬件产业链,其他,立讯精密（002475）~5100亿,同向上升,+18% ~ +22%,+14.3% ~ +21.5%,66.44,+11.74% ~ +20.06%,+25.4% ~ +42.2%,55.99,多元化业务布局、全球化产能配置、垂直一体化能力优势，深化海内外核心客户合作，供应链改善、成本优化及全球化交付能力提升,15家机构一致预期（截至2026-06-19）2026年净利润217.22亿，EPS 2.98元；13家机构近6个月目标均价84.47元（最高90元）。焦点：AI算力+汽车电子是长期逻辑，但毛利率降至11.92%、苹果依赖度仍高、增收不增利隐忧,,,
新能源产业链,,盐湖股份（000792）~2040亿,预增,+131.38% ~ +142.95%,-2% ~ +8%,25.92,—,—,—,氯化钾及碳酸锂的生产、销售,氯化钾及碳酸锂销量及价格同比上涨，4万吨/年基础锂盐项目量产带动产销量提升，五矿盐湖纳入合并报表,18家机构一致预期（截至2026-06-30）2026年净利润113.77亿，EPS 2.15元；国联民生（2026-04-07）推荐。焦点：钾肥+锂盐双景气，五矿盐湖注入后产能持续释放,,
AI 硬件产业链,设备,长川科技（300604）~1703亿,同向上升,+110.76% ~ +134.18%,+55% ~ +83%,4.27,+139.38% ~ +167.38%,+63% ~ +94%,3.57,前期研发投入成果持续显现，高端下游市场需求释放，数字测试机等多产品线销售大幅增长，规模效应显现,6家机构一致预期（截至2026-06-21）2026年净利润20.88亿，EPS 3.29元；东吴证券（2026-06-15）买入。焦点：SoC测试机受益AI算力芯片放量，国产替代加速,,,
AI 硬件产业链,存储,江波龙（301308）~1500亿,🟢 同向上升,+62204% ~ +74394%,+38% ~ +85%,0.01,扭亏为盈,+28% ~ +66%,亏损（上期-0.23亿）,存储模组与品牌（企业级SSD、嵌入式存储等）,下游需求增加及全球存储晶圆产能增长有限，公司保障晶圆供应，以自研芯片和软件架构支撑端侧AI需求,8家机构一致预期（截至2026-07-03）2026年净利润137.28亿，EPS 32.72元。焦点：存储周期上行+端侧AI需求爆发，但基数极低导致增速异常高,,
新能源产业链,,亿纬锂能（300014）~1450亿,同向上升,+95% ~ +110%,+18.7% ~ +35.5%,16.05,+110% ~ +125%,+20.1% ~ +35.8%,11.57,营收同比增长约60%（锂电池/储能业务驱动）；供应链多元化布局、战略性采购对冲成本上涨，盈利能力稳定,22家机构一致预期（截至2026-06-17）2026年净利润70.59亿，EPS 3.31元；华泰证券（2026-06-16）买入，目标价103.32元，预测2026年净利76.56亿；花旗（2026-06-17）买入，目标价87.9元。焦点：储能订单饱满、大圆柱量产，但负债率65%、Q1经营现金流为负、毛利率仅14%,,,
AI 硬件产业链,计算,锐捷网络（301165）~896亿,同向上升,+32.71% ~ +65.88%,+288% ~ +410%,4.52,—,—,—,网络设备、网络安全产品及云桌面解决方案,面向互联网客户的数据中心交换机业务大幅增长，成为核心驱动因素,7家机构一致预期（截至2026-06-26）2026年净利润14.37亿，EPS 1.29元；华泰证券（2026-04-22）买入，目标价111.06元。焦点：AI算力驱动数据中心交换机需求爆发,,
其他产业链,,卫星化学（002648）~771亿,同向上升,+118.68% ~ +155.13%,+83% ~ +131%,27.44,+96.37% ~ +130.90%,+91% ~ +142%,28.96,产业链一体化优势、生产装置稳定运行、产品迭代创新，供应链多元化布局和金融工具运用缓冲成本波动,28家机构一致预期（截至2026-06-21）2026年净利润86.37亿，EPS 2.56元；华泰证券（2026-04-14）增持，目标价33.6元。焦点：乙烷裂解成本优势凸显，H1归母中值65亿已超2025全年,,,
AI 硬件产业链,其他,广钢气体（688548）~650亿,同向上升,+87.19% ~ +138.24%,+39% ~ +104%,1.18,+93.59% ~ +151.67%,+56% ~ +152%,1.03,以电子大宗气体为核心的工业气体,前期投建电子大宗气体项目陆续投产供气，全球氦气价格上涨，加大采购并释放战略库存带来收入及利润增长,暂无机构一致预期（新股上市，市场关注度有限）,,
其他产业链,,恒逸石化（000703）~590亿,同向上升,+2326.31% ~ +2546.88%,+75% ~ +101%,2.27,+3560.47% ~ +3895.07%,+82% ~ +108%,1.49,文莱炼厂满产满销，单吨盈利维持高位；年产120万吨己内酰胺-聚酰胺一体化项目产销两旺；PTA及聚酯产业链稳步复苏，产品单吨利润大幅改善,4家机构一致预期（截至2026-06-25）2026年净利润50.80亿，EPS 1.33元；国海证券（2026-04-22）买入，预测净利润74.92亿；中金公司（2026-04-16）跑赢行业，目标价16元。焦点：文莱炼化受益中东地缘冲突盈利暴增，己内酰胺-聚酰胺一体化项目产销两旺,,,
